205,0,41,227,37,103,158,145,149,139
100,189,143,129,255,61,248,186,133,158
142,58,200,142,33,182,148,26,145,173
0,46,5,195,209,254,255,100,254,251
163,166,86,118,119,26,56,181,2,3
120,109,114,189,15,16,176,115,168,227
195,40,95,157,2,1,88,36,56,223
243,99,94,214,69,128,146,200,131,212
13,160,15,118,137,255,30,255,48,124
5,58,168,254,18,57,248,247,165,184
228,143,135,137,84,194,50,83,65,0
59,148,122,244,0,155,69,254,0,247
0,189,159,244,53,154,37,215,161,72
95,73,123,130,74,123,55,90,209,28
153,48,151,207,140,5,154,199,232,88
241,191,179,220,86,138,0,254,97,144
124,72,131,128,53,224,17,117,131,163
255,182,71,172,32,186,198,204,255,140
178,190,17,220,93,36,9,0,62,69
66,94,65,149,113,252,244,228,216,199
229,59,222,235,81,73,26,226,90,41
11,224,153,226,50,161,139,214,157,196
193,59,144,110,199,184,125,35,17,74
85,112,245,239,138,193,15,62,100,167
103,33,106,152,255,169,137,14,254,0
177,99,5,111,101,215,47,88,20,245
54,70,215,184,58,86,252,169,190,136
51,129,131,191,125,157,79,223,10,25
29,227,179,160,228,201,225,172,254,241
137,165,97,114,31,207,246,220,252,137
4,169,58,169,253,252,13,11,138,207
172,113,199,126,131,193,244,178,223,48
196,81,244,206,2,140,224,194,9,139
136,126,65,158,85,247,0,1,1,235
32,0,53,212,9,255,245,255,80,172
133,226,46,162,129,229,81,58,22,116
46,228,155,176,157,43,88,171,71,99
197,191,55,248,63,113,151,146,193,60
225,66,168,192,208,226,115,27,93,84
155,218,162,116,109,234,119,27,204,40
34,160,144,187,23,92,58,99,4,18
159,138,145,112,10,51,246,108,189,12
221,88,190,154,109,25,56,191,187,113
150,135,98,213,2,1,227,0,157,70
11,34,168,124,47,76,99,98,59,3
130,45,221,160,170,38,90,162,35,70
94,126,222,231,46,86,254,109,92,72
1,168,157,184,42,115,210,156,133,224
108,198,171,152,223,102,58,131,95,39
93,107,41,144,231,166,231,253,9,253
