11,6,2,242,1,25,244,2,8,1
128,133,24,209,98,87,208,215,234,123
110,202,251,205,92,106,176,121,122,192
6,69,21,149,156,72,116,247,227,255
19,13,15,240,255,255,252,67,153,253
117,70,3,235,181,255,2,253,215,144
175,115,22,224,192,205,76,173,12,235
25,44,7,134,25,142,4,209,123,238
28,20,6,245,193,137,175,0,33,0
0,1,0,240,161,2,253,3,200,180
252,249,186,146,216,129,171,189,142,139
12,21,23,208,2,49,5,231,115,251
161,206,85,187,23,175,104,230,177,175
148,156,33,214,3,0,87,117,24,166
42,2,39,249,195,236,234,154,178,18
89,144,25,252,241,2,26,51,20,13
242,147,9,190,103,1,147,65,78,147
17,8,7,251,1,2,1,248,24,19
34,17,5,243,210,197,35,71,135,48
5,4,8,179,125,109,154,233,140,28
137,204,200,244,17,38,214,233,58,97
13,3,4,212,44,123,10,81,151,56
5,3,10,104,50,116,133,117,77,58
0,2,7,211,234,14,2,4,4,86
141,180,26,244,167,216,111,22,33,37
142,207,40,109,54,189,36,110,139,163
46,77,46,104,4,188,69,215,41,101
10,4,9,251,254,1,253,249,175,9
119,148,54,194,23,114,43,107,22,204
0,3,13,223,160,253,0,205,0,255
