3,32,0,220,244,254,32,173,2,254
93,217,196,211,60,139,171,0,127,221
92,99,112,169,2,204,119,102,1,109
130,177,205,109,75,102,227,151,83,4
25,188,135,220,24,67,60,33,242,63
186,99,198,161,191,155,110,162,121,75
34,10,184,204,1,215,0,112,16,222
12,61,76,211,134,19,27,134,20,220
46,119,38,128,150,160,35,120,206,112
52,47,120,108,184,19,10,9,65,59
161,156,16,251,86,224,154,86,182,44
33,111,201,162,150,196,80,114,195,152
125,170,220,106,255,162,79,103,60,176
41,65,133,153,128,68,231,239,251,81
84,61,67,148,109,150,128,177,244,225
40,41,76,149,254,113,98,213,252,231
20,141,135,179,181,217,13,241,40,157
70,59,108,105,245,6,8,162,166,4
196,52,12,247,8,249,168,53,14,248
198,42,190,208,200,100,114,70,190,220
63,13,96,199,191,250,116,56,165,103
249,115,202,234,70,122,175,93,71,160
68,84,226,209,17,111,11,98,85,40
13,100,101,158,86,62,255,253,183,250
59,28,106,125,175,93,137,33,33,9
18,26,12,143,49,65,30,240,103,243
30,120,216,169,206,138,223,0,100,3
32,16,37,158,211,242,58,247,60,133
25,65,98,210,27,106,162,0,1,0
125,131,225,234,166,203,199,225,228,228
10,136,82,207,58,124,9,23,102,78
65,106,104,141,41,2,253,167,240,239
90,96,125,103,165,67,245,58,135,239
220,58,203,249,14,28,61,236,145,214
175,132,153,210,57,182,201,160,239,202
42,226,11,210,105,66,40,223,77,169
78,33,54,219,244,191,253,255,59,228
29,64,75,124,221,250,90,170,106,40
102,197,144,238,152,155,159,140,72,100
126,109,175,171,200,76,18,36,0,107
58,79,162,140,14,12,1,84,142,5
117,28,209,237,181,239,107,177,125,32
63,84,32,114,243,90,250,2,65,0
29,120,88,161,237,126,254,2,254,255
42,44,43,177,8,136,166,250,0,252
120,180,72,185,66,192,104,183,120,40
94,101,53,186,30,63,191,24,241,0
199,110,137,228,52,197,119,15,186,101
80,90,81,183,94,242,9,113,3,254
26,97,88,186,102,48,2,0,3,185
