58,255,66,230,248,67,250,255,147,255
97,155,9,239,154,156,67,38,32,105
73,185,123,103,8,244,5,148,127,75
194,162,23,198,239,28,204,255,254,255
111,123,151,125,116,107,83,237,205,119
149,168,0,198,252,62,254,7,1,1
72,240,9,202,108,253,3,253,2,148
30,96,53,138,200,240,172,221,246,82
219,1,12,230,125,1,0,3,1,146
78,90,72,247,133,2,237,1,211,190
253,228,6,200,135,156,134,2,253,78
243,155,5,113,92,71,136,136,155,82
52,223,101,222,251,233,165,178,238,67
161,220,69,243,242,180,248,15,145,3
39,236,247,205,231,114,168,255,32,243
116,29,89,248,1,129,109,99,0,13
115,59,186,191,134,164,118,65,97,128
91,116,118,248,176,0,255,253,252,0
52,173,80,254,173,0,49,118,3,1
131,85,55,152,195,199,213,165,147,194
169,244,9,161,202,177,185,220,174,183
38,230,91,238,1,254,1,63,105,255
84,11,58,232,1,10,81,203,0,255
56,142,56,203,80,4,147,207,162,2
232,126,54,202,91,235,8,141,9,186
255,148,140,242,99,241,4,115,105,188
14,62,136,243,54,33,191,242,213,238
43,126,179,205,13,120,215,153,169,88
165,101,0,221,175,3,255,252,255,3
156,76,12,186,245,255,152,173,2,255
