generation,best_fitness
0,0.9555794775660144
1,0.9553464115406343
2,0.9577213811647305
3,0.9579357324774429
4,0.958471610759224
5,0.958471610759224
6,0.958471610759224
7,0.958471610759224
8,0.960335255299609
9,0.960335255299609
10,0.9632992492023367
11,0.9628870205735602
12,0.9628870205735602
13,0.9629203472794235
14,0.9655531570426336
15,0.9655531570426336
16,0.9655531570426336
17,0.9698247192004116
18,0.9698247192004116
19,0.9698247192004116
20,0.9698247192004116
21,0.9698247192004116
22,0.971713358770194
23,0.971713358770194
24,0.971713358770194
25,0.971713358770194
26,0.9731329943855862
27,0.9736566591870934
28,0.9736566591870934
29,0.9736566591870934
30,0.973827316537431
31,0.974040610610895
32,0.974040610610895
33,0.9742500386602412
34,0.9742500386602412
35,0.9751060552983466
36,0.9767554747635413
37,0.9767554747635413
38,0.9767554747635413
39,0.9767960285675513
40,0.9767960285675513
41,0.9767960285675513
42,0.9767960285675513
43,0.9767960285675513
44,0.9767960285675513
45,0.9767960285675513
46,0.9767960285675513
47,0.9767960285675513
48,0.9767960285675513
49,0.976994458172775
50,0.976994458172775
51,0.976994458172775
52,0.976994458172775
53,0.976994458172775
54,0.976994458172775
55,0.976994458172775
56,0.977907234356804
57,0.977907234356804
58,0.9779469202778488
59,0.9779469202778488
60,0.9779469202778488
61,0.9779469202778488
62,0.9779469202778488
63,0.9779469202778488
64,0.9779469202778488
65,0.9781107134629161
66,0.9781107134629161
67,0.9781107134629161
68,0.9781107134629161
69,0.9781107134629161
70,0.9781107134629161
71,0.981135096240331
72,0.981135096240331
73,0.981135096240331
74,0.981135096240331
75,0.981135096240331
76,0.981135096240331
77,0.981135096240331
78,0.981135096240331
79,0.981135096240331
80,0.981135096240331
81,0.981135096240331
82,0.981135096240331
83,0.981135096240331
84,0.981135096240331
85,0.9826442973777311
86,0.9826442973777311
87,0.9826442973777311
88,0.9826442973777311
89,0.9835093242189842
90,0.9835093242189842
91,0.9835093242189842
92,0.9835093242189842
93,0.9835093242189842
94,0.9835093242189842
95,0.9835552273379978
96,0.9835552273379978
97,0.9835552273379978
98,0.9835552273379978
99,0.9837847429330657
100,0.9841353834306941
101,0.9841353834306941
102,0.9841353834306941
103,0.9841353834306941
104,0.9844700391020725
105,0.9844700391020725
106,0.9844700391020725
107,0.9844700391020725
108,0.9844700391020725
109,0.9844700391020725
110,0.9844700391020725
111,0.9845172361556888
112,0.9845172361556888
113,0.9885399368181201
114,0.989052271802009
115,0.989052271802009
116,0.989052271802009
117,0.989052271802009
118,0.989052271802009
119,0.989052271802009
120,0.989052271802009
121,0.989052271802009
122,0.989052271802009
123,0.989052271802009
124,0.989052271802009
125,0.989052271802009
126,0.989052271802009
127,0.989052271802009
128,0.989052271802009
129,0.989052271802009
130,0.989052271802009
131,0.989052271802009
132,0.989052271802009
133,0.989052271802009
134,0.989052271802009
135,0.9904355194516242
136,0.9904355194516242
137,0.9904355194516242
138,0.9904355194516242
139,0.9904355194516242
140,0.9904355194516242
141,0.9904355194516242
142,0.9904355194516242
143,0.9904355194516242
144,0.9904355194516242
145,0.9904355194516242
146,0.9904355194516242
147,0.9904355194516242
148,0.9904355194516242
149,0.9904355194516242
150,0.9907015650296817
151,0.9907015650296817
152,0.9907015650296817
153,0.9907015650296817
154,0.9907015650296817
155,0.9907015650296817
156,0.9907015650296817
157,0.9907015650296817
158,0.9907015650296817
159,0.9907015650296817
160,0.9907015650296817
161,0.9907015650296817
162,0.9910208197233504
163,0.9910208197233504
164,0.9910208197233504
165,0.9911399248255556
166,0.9911399248255556
167,0.9911399248255556
168,0.9914094103760931
169,0.9914605996913493
170,0.9914605996913493
171,0.9914605996913493
172,0.9914605996913493
173,0.9914605996913493
174,0.9914605996913493
175,0.9914605996913493
176,0.9914605996913493
177,0.9914605996913493
178,0.9914605996913493
179,0.9914605996913493
180,0.9914605996913493
181,0.9914605996913493
182,0.9914605996913493
183,0.9914605996913493
184,0.9914605996913493
